Area_Code,Area,Item_Code,Item,CPC_Code,Element_Code,Element,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
63,Estonia,866,Cattle,'02111,5111,Stocks,Head,,708273,614600,463200,419500,370400,343000,325600,307500,267300,252800,260500,253900,257200,249800,249500,244800,240500,237900,234700,236300,238300,246000,261400,264700,248236,250900,251900,254000,253300
57,Belarus,866,Cattle,'02111,5111,Stocks,Head,,6577000,6220600,5851400,5403300,5053900,4854600,4801100,4685500,4326200,4220500,4084500,4005100,3924100,3962600,3980200,3988711,4006700,4130500,4151000,4151300,4247000,4367000,4363700,4356500,4298300,4361400,4340400,4294700,4292400
54,Denmark,866,Cattle,'02111,5111,Stocks,Head,2222000,2190000,2195000,2104904,2090733,2093256,2004212,1977367,1887057,1867937,1906911,1796118,1724409,1645764,1570085,1534763,1566218,1564393,1540340,1571050,1567971,1606826,1614644,1563535,1551948,1568288,1545417,1530000,1500000,1500000
51,Czechoslovakia,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bulgaria,866,Cattle,'02111,5111,Stocks,Head,1456900,1310454,973727,750395,638238,631739,582055,611720,671376,681661,639778,634466,691230,728336,671579,621797,628271,602056,564904,539555,544456,557641,526112,575584,552807,550201,557866,542120,527190,588910
15,Belgium-Luxembourg,866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Austria,866,Cattle,'02111,5111,Stocks,Head,2583914,2534008,2400725,2333887,2328518,2325825,2271949,2197940,2171681,2152811,2155447,2118454,2066942,2052033,2050991,2010680,2002919,2000196,1997209,2026260,2013281,1976527,1955618,1958282,1961201,1957610,1954391,1912810,1879520,1855430
3,Albania,866,Cattle,'02111,5111,Stocks,Head,640000,616000,654700,820000,840000,806000,771000,705000,720000,728000,708400,690000,684000,654000,655000,634000,577000,541000,494000,493000,492000,498018,498131,499690,504200,492393,475215,467318,415609,362583
273,Montenegro,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,117482,114922,109378,106494,100835,85844,87173,84701,89058,92452,89269,86649,83264,81400,80018
272,Serbia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,1106000,1087077,1057435,1002295,938038,936570,920762,913144,920068,915641,892751,898650,878336,898178,886127
256,Luxembourg,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,205072,205193,197257,189674,186725,185235,183640,191928,195661,196470,198892,192535,188473,193623,198780,201036,201416,202281,194390,192100,190690
255,Belgium,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,3041560,3037760,2891260,2778077,2738648,2698649,2669076,2649392,2605532,2600453,2593000,2560319,2484272,2454704,2477236,2503262,2501349,2385988,2398090,2373100,2335440
248,Yugoslav SFR,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Ukraine,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,23727600,22456800,21607300,19624300,17557300,15313200,12758500,11721600,10626500,9423700,9421100,9108400,7712100,6902900,6514100,6175400,5490900,5079000,4826700,4494400,4425800,4645900,4397700,3884000,3750000,3682300,3530800,3332900,3092000
