,Date,Country,Price,Year,Month,Week
302,2008-04-14,BE,291.54,2008,4,16
303,2008-04-21,BE,291.08,2008,4,17
304,2008-04-28,BE,290.17,2008,4,18
305,2008-05-05,BE,291.32,2008,5,19
306,2008-05-12,BE,292.2,2008,5,20
307,2008-05-19,BE,293.81,2008,5,21
308,2008-05-26,BE,293.78,2008,5,22
309,2008-06-02,BE,294.18,2008,6,23
310,2008-06-09,BE,294.36,2008,6,24
311,2008-06-16,BE,293.61,2008,6,25
312,2008-06-23,BE,294.23,2008,6,26
313,2008-06-30,BE,296.12,2008,6,27
314,2008-07-07,BE,296.4,2008,7,28
315,2008-07-14,BE,296.41,2008,7,29
316,2008-07-21,BE,297.56,2008,7,30
317,2008-07-28,BE,299.03,2008,7,31
318,2008-08-04,BE,300.91,2008,8,32
319,2008-08-11,BE,303.17,2008,8,33
320,2008-08-18,BE,306.24,2008,8,34
321,2008-08-25,BE,305.29,2008,8,35
322,2008-09-01,BE,305.99,2008,9,36
323,2008-09-08,BE,307.11,2008,9,37
324,2008-09-15,BE,308.03,2008,9,38
325,2008-09-22,BE,308.68,2008,9,39
326,2008-09-29,BE,308.6,2008,9,40
327,2008-10-06,BE,308.26,2008,10,41
328,2008-10-13,BE,308.56,2008,10,42
329,2008-10-20,BE,306.42,2008,10,43
330,2008-10-27,BE,305.85,2008,10,44
331,2008-11-03,BE,305.05,2008,11,45
332,2008-11-10,BE,305.67,2008,11,46
333,2008-11-17,BE,304.52,2008,11,47
334,2008-11-24,BE,305.04,2008,11,48
335,2008-12-01,BE,306.59,2008,12,49
336,2008-12-08,BE,308.4,2008,12,50
337,2008-12-15,BE,309.16,2008,12,51
338,2008-12-22,BE,309.31,2008,12,52
339,2008-12-29,BE,309.32,2008,12,1
340,2009-01-05,BE,309.06,2009,1,2
341,2009-01-12,BE,307.91,2009,1,3
342,2009-01-19,BE,307.87,2009,1,4
343,2009-01-26,BE,309.14,2009,1,5
344,2009-02-02,BE,310.05,2009,2,6
345,2009-02-09,BE,309.8,2009,2,7
346,2009-02-16,BE,310.16,2009,2,8
347,2009-02-23,BE,311.56,2009,2,9
348,2009-03-02,BE,312.42,2009,3,10
349,2009-03-09,BE,311.92,2009,3,11
350,2009-03-16,BE,311.66,2009,3,12
351,2009-03-23,BE,311.31,2009,3,13
352,2009-03-30,BE,312.08,2009,3,14
353,2009-04-06,BE,311.64,2009,4,15
354,2009-04-13,BE,312.56,2009,4,16
355,2009-04-20,BE,313.04,2009,4,17
356,2009-04-27,BE,313.13,2009,4,18
357,2009-05-04,BE,315.45,2009,5,19
358,2009-05-11,BE,315.52,2009,5,20
359,2009-05-18,BE,314.27,2009,5,21
360,2009-05-25,BE,314.11,2009,5,22
361,2009-06-01,BE,315.08,2009,6,23
362,2009-06-08,BE,315.76,2009,6,24
363,2009-06-15,BE,314.48,2009,6,25
364,2009-06-22,BE,313.95,2009,6,26
365,2009-06-29,BE,314.33,2009,6,27
366,2009-07-06,BE,314.15,2009,7,28
367,2009-07-13,BE,312.94,2009,7,29
368,2009-07-20,BE,313.15,2009,7,30
369,2009-07-27,BE,313.91,2009,7,31
370,2009-08-03,BE,312.67,2009,8,32
371,2009-08-10,BE,312.35,2009,8,33
372,2009-08-17,BE,311.88,2009,8,34
373,2009-08-24,BE,310.95,2009,8,35
374,2009-08-31,BE,310.53,2009,8,36
375,2009-09-07,BE,308.13,2009,9,37
376,2009-09-14,BE,305.6,2009,9,38
377,2009-09-21,BE,304.46,2009,9,39
378,2009-09-28,BE,304.43,2009,9,40
379,2009-10-05,BE,304.89,2009,10,41
380,2009-10-12,BE,303.62,2009,10,42
381,2009-10-19,BE,303.78,2009,10,43
382,2009-10-26,BE,303.11,2009,10,44
383,2009-11-02,BE,303.24,2009,11,45
384,2009-11-09,BE,302.1,2009,11,46
385,2009-11-16,BE,302.43,2009,11,47
386,2009-11-23,BE,301.93,2009,11,48
387,2009-11-30,BE,302.08,2009,11,49
388,2009-12-07,BE,302.95,2009,12,50
389,2009-12-14,BE,303.44,2009,12,51
390,2009-12-21,BE,303.44,2009,12,52
391,2009-12-28,BE,303.11,2009,12,53
392,2010-01-04,BE,302.05,2010,1,1
393,2010-01-11,BE,303.27,2010,1,2
394,2010-01-18,BE,304.36,2010,1,3
395,2010-01-25,BE,303.97,2010,1,4
396,2010-02-01,BE,304.02,2010,2,5
397,2010-02-08,BE,304.07,2010,2,6
398,2010-02-15,BE,304.27,2010,2,7
399,2010-02-22,BE,303.3,2010,2,8
400,2010-03-01,BE,301.62,2010,3,9
401,2010-03-08,BE,302.74,2010,3,10
402,2010-03-15,BE,303.06,2010,3,11
403,2010-03-22,BE,302.59,2010,3,12
404,2010-03-29,BE,303.18,2010,3,13
405,2010-04-05,BE,303.22,2010,4,14
406,2010-04-12,BE,304.0,2010,4,15
407,2010-04-19,BE,305.33,2010,4,16
408,2010-04-26,BE,304.54,2010,4,17
409,2010-05-03,BE,304.76,2010,5,18
410,2010-05-10,BE,303.61,2010,5,19
411,2010-05-17,BE,303.13,2010,5,20
412,2010-05-24,BE,303.78,2010,5,21
413,2010-05-31,BE,303.1,2010,5,22
414,2010-06-07,BE,303.53,2010,6,23
415,2010-06-14,BE,303.55,2010,6,24
